주차장명,위도,경도
동성빌딩 주변,37.42829666,126.9909852
소방서 뒤,37.42829666,126.9909852
관악산길,37.43302918,126.9881055
농협(경찰서옆) 앞,37.42927228,126.990568
KT(전화국) 앞,37.42927228,126.990568
북문노외주차장(1주차장),37.4516973,127.0130957
뒷골7,37.45370049,127.0012578
뒷골5,37.45497793,127.0006934
한내1,37.44824768,126.9986192
한내2,37.44703577,126.9971673
광창교 앞(삼부골),37.44872386,127.0045293
한내3,37.44739114,126.998025
중앙동 소공원 주차장,37.43221126,126.9895119
렉스타운 앞,37.42828534,126.9925451
그레이스호텔 앞,37.42776212,126.9920688
교보빌딩 앞(상이군경회),37.42723551,126.9915575
삼성SDS 앞,37.42611401,126.9906722
주차빌딩,37.42829179,126.9940482
코오롱 앞(기계식),37.42545958,126.9915017
찬우물3,37.41655853,126.9841362
죽바위2-2,37.45588851,127.0299789
문원공원마을 어린이집,37.42940297,127.005287
광창1,37.4492349,127.0112757
궁말마을 입구(경마공원역),37.44074623,127.0081253
벽산상가 앞,37.42839452,126.9927817
2단지(은혜와진리교회) 앞,37.42802124,126.9940162
골든타워 앞,37.42839452,126.9927817
새서울쇼핑 앞,37.42802124,126.9940162
우리은행 옆,37.42802124,126.9940162
이마트 앞,37.42802124,126.9940162
우체국 앞,37.4256292,126.9947348
사기막골1,37.41972756,126.9991484
사기막골2,37.4192053,127.0011469
공영노외주차장,37.43765164,126.9996938
공영노외주차장,37.43746609,126.999614
공영노외주차장,37.4331779,126.9910488
공영노외주차장,37.42950609,126.9890948
공영노외주차장,37.43200032,126.9902955
공영노외주차장,37.43119992,126.9885566
공영노외주차장,37.42335847,127.0097669
공영노외주차장,37.42490086,127.0100218
공영노외주차장,37.42484259,127.0097694
공영노외주차장,37.42284468,127.0085456
공영노외주차장,37.4289277,127.0050916
공영노외주차장,37.42559828,126.9955428
공영노외주차장,37.42351363,126.9962572
공영노외주차장,37.42364852,126.9966824
공영노외주차장,37.43893634,126.9974253
공영노외주차장,37.43707797,126.996566
공영노외주차장,37.43835807,126.9989801
