호선,출발역 ID,출발역,출발역 경도,출발역 위도,도착역 ID,도착역,도착역 경도,도착역 위도,소요시간
9,4116,샛강,126.9283751,37.51737287,4117,노량진,126.9408932,37.51358567,3
9,4117,노량진,126.9408932,37.51358567,4118,노들,126.9530961,37.51267212,2
9,4118,노들,126.9530961,37.51267212,4119,흑석,126.9634631,37.50916547,2
9,4119,흑석,126.9634631,37.50916547,4120,동작,126.9785461,37.50274411,4
9,4120,동작,126.9785461,37.50274411,4121,구반포,126.9874649,37.50143983,2
9,4121,구반포,126.9874649,37.50143983,4122,신반포,126.9960824,37.50350914,2
9,4122,신반포,126.9960824,37.50350914,4123,고속터미널,127.0042118,37.50598149,2
9,4123,고속터미널,127.0042118,37.50598149,4124,사평,127.0152725,37.50423263,2
9,4124,사평,127.0152725,37.50423263,4125,신논현,127.025492,37.50481111,2
9,4125,신논현,127.025492,37.50481111,4126,언주,127.0339709,37.5073354,2
9,4126,언주,127.0339709,37.5073354,4127,선정릉,127.0440149,37.51032432,2
9,4127,선정릉,127.0440149,37.51032432,4128,삼성중앙,127.0530437,37.51296145,2
9,4128,삼성중앙,127.0530437,37.51296145,4129,봉은사,127.0602339,37.51425545,2
9,4129,봉은사,127.0602339,37.51425545,4130,종합운동장,127.0763245,37.51140979,2
9,4130,종합운동장,127.0763245,37.51140979,4131,삼전,127.0873636,37.5045491,3
9,4131,삼전,127.0873636,37.5045491,4132,석촌고분,127.0965082,37.50246246,2
9,4132,석촌고분,127.0965082,37.50246246,4133,석촌,127.1067648,37.50497285,3
9,4133,석촌,127.1067648,37.50497285,4134,송파나루,127.1126617,37.51101671,4
9,4134,송파나루,127.1126617,37.51101671,4135,한성백제,127.1164492,37.51653799,2
9,4135,한성백제,127.1164492,37.51653799,4136,올림픽공원,127.1302529,37.51611632,3
9,4136,올림픽공원,127.1302529,37.51611632,4137,둔촌오륜,127.1386521,37.51940804,2
9,4137,둔촌오륜,127.1386521,37.51940804,4138,중앙보훈병원,127.1484117,37.52840259,2
GTX-A,9000,운정중앙,126.7281446,37.71612658,9001,킨텍스,126.7482565,37.66524275,4
GTX-A,9001,킨텍스,126.7482565,37.66524275,9002,대곡,126.810475,37.63240571,5
GTX-A,9002,대곡,126.810475,37.63240571,9004,연신내,126.9206377,37.61893624,5
GTX-A,9004,연신내,126.9206377,37.61893624,9005,서울,126.9726369,37.55548752,5
GTX-A,8,수서,127.1025585,37.48663659,9,성남,127.1205478,37.39432777,6
GTX-A,9,성남,127.1205478,37.39432777,10,구성,127.103861,37.29910662,7
GTX-A,10,구성,127.103861,37.29910662,11,동탄,127.0954956,37.20096114,7
경강선,1501,판교,127.1119827,37.39477589,1512,성남,127.1195603,37.39474504,6
경강선,1512,성남,127.1195603,37.39474504,1502,이매,127.1273187,37.39471351,2
경강선,1502,이매,127.1273187,37.39471351,1503,삼동,127.2033839,37.40868738,7
경강선,1503,삼동,127.2033839,37.40868738,1504,경기광주,127.2532827,37.39894381,5
경강선,1504,경기광주,127.2532827,37.39894381,1505,초월,127.2999052,37.37337913,4
경강선,1505,초월,127.2999052,37.37337913,1506,곤지암,127.3462513,37.35053954,5
경강선,1506,곤지암,127.3462513,37.35053954,1507,신둔도예촌,127.405243,37.31561312,5
경강선,1507,신둔도예촌,127.405243,37.31561312,1508,이천,127.4421679,37.26422576,6
경강선,1508,이천,127.4421679,37.26422576,1509,부발,127.4903215,37.26039235,4
경강선,1509,부발,127.4903215,37.26039235,1510,세종대왕릉,127.5706596,37.29363262,7
경강선,1510,세종대왕릉,127.5706596,37.29363262,1511,여주,127.6285291,37.28285965,4
경의중앙선,1285,임진강,126.7470785,37.88827506,1286,운천,126.769909,37.8798512,4
경의중앙선,1286,운천,126.769909,37.8798512,1284,문산,126.7873954,37.8546269,6
경의중앙선,1284,문산,126.7873954,37.8546269,1283,파주,126.7926913,37.81536558,5
경의중앙선,1283,파주,126.7926913,37.81536558,1282,월롱,126.7925859,37.79621464,3
경의중앙선,1282,월롱,126.7925859,37.79621464,1280,금촌,126.7746333,37.7662265,4
경의중앙선,1280,금촌,126.7746333,37.7662265,1279,금릉,126.7654101,37.75133898,2
경의중앙선,1279,금릉,126.7654101,37.75133898,1278,운정,126.7671633,37.72560181,4
경의중앙선,1278,운정,126.7671633,37.72560181,1277,야당,126.761454,37.71261102,2
경의중앙선,1277,야당,126.761454,37.71261102,1276,탄현,126.7610783,37.69398894,3
